"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sel4_SRR1719013_htseq_counted","sel4_SRR1719014_htseq_counted","sel4_SRR1719015_htseq_counted","sel4_SRR1719016_htseq_counted","sel4_SRR1719017_htseq_counted","sel4_SRR1719018_htseq_counted","sel4_SRR1719204_htseq_counted","sel4_SRR1719206_htseq_counted","sel4_SRR1719207_htseq_counted","sel4_SRR1719208_htseq_counted","sel4_SRR1719209_htseq_counted","sel4_SRR1719211_htseq_counted","sel4_SRR1719212_htseq_counted","sel4_SRR1719213_htseq_counted","sel4_SRR1719214_htseq_counted","sel4_SRR1719241_htseq_counted","sel4_SRR1719242_htseq_counted","sel4_SRR1719266_htseq_counted"
"43","maker-NW_015503979.1-augustus-gene-21.3",356.876967219769,8.47928298286774,0.116061067944147,73.0588054467009,0,0,232.255359951674,191.519851554238,423.474996436034,310.017578655193,235.820156336814,518.545599728353,206.36866266901,286.455241716622,431.741754202916,489.031824122875,261.449692585747,289.781352901967,346.442126784513,480.434201670637,498.899432457198,213.346974704566,505.831964548017,502.368638929471
"44","maker-NW_015503979.1-augustus-gene-21.6",320.131856945886,8.32252243920115,0.103238939057133,80.6141802231759,0,0,213.321499086048,254.259113270282,498.697528697698,256.020522913448,169.424189989556,427.682624549367,231.767882689811,314.613412925061,470.804103392704,307.949086587354,393.536256027505,269.832636579006,230.704222513517,357.494809997343,309.794254669107,224.014323439794,398.458015191224,433.998942507117
"45","maker-NW_015503979.1-augustus-gene-22.1",1246.22098180481,10.2833441965925,0.110789483155976,92.8187757868227,0,0,2094.08501173819,1962.52813402993,950.96139550548,1621.77363969173,1541.98908051305,787.218017714494,1698.57283889108,778.681734571838,972.446903514187,825.173432721747,1236.43917118676,1386.96075066485,1424.34780856172,976.235827300436,633.425473566612,1464.47459065063,1031.79654460043,1044.86731706337
"46","maker-NW_015503979.1-augustus-gene-24.5",7223.40281662735,12.8184629098863,0.0506465000959316,253.096717159257,0,0,7829.7825966317,7989.90001397825,6051.23481749385,8965.37322056909,9454.55665624151,6704.2776254909,7502.29461364415,7454.87582743428,6036.16090637982,6134.04219304458,7132.67442585492,6377.28962871938,8554.57429768351,7154.7490706708,6860.0593763452,6593.94542533326,6034.7514974435,7190.70850633367
"47","maker-NW_015503979.1-augustus-gene-25.0",6850.79816942118,12.7420563673313,0.043524600627534,292.755273652542,0,0,7348.86253064481,7181.99443328394,7055.13058755384,6294.38092879207,6343.10430224412,5558.30751612144,8206.06466838718,7471.66242950085,8064.3191945759,7512.22278829995,6794.96857293166,6184.10206011807,7213.55778019691,7634.37446055411,6201.26613502653,6071.24533730708,6553.16634668177,5625.63697736109
"48","maker-NW_015503979.1-augustus-gene-26.0",301.379421541853,8.2354371015576,0.199111311620972,41.3609705772746,0,0,205.747954739798,312.595619778182,152.302410998925,123.82083471814,116.765320127937,95.5627842399685,238.117687695011,238.802951979263,218.954746774336,358.912491762021,457.536962025058,533.365678529708,142.743415267561,592.859040108715,139.13836251888,495.269762707028,141.767167510141,860.566396272674
"49","maker-NW_015503979.1-augustus-gene-27.1",2071.49102613403,11.0164538551216,0.0427085821793677,257.944733656919,0,0,2160.9846534634,2305.94304026511,1942.78441347409,2020.23467171702,2484.12494781984,1824.3092171712,2039.34570750349,1713.8579206675,2007.59915704356,1991.91011289074,1576.86845840779,2072.5666327119,2211.36555760449,2026.88233903471,2436.84314466767,2203.56946730573,2192.77737202076,2074.87165664362
"50","maker-NW_015503979.1-augustus-gene-27.4",242.671041218871,7.92285814670784,0.076806973447014,103.1528491638,0,0,213.321499086048,232.245337229565,292.532069906471,283.01905078432,231.241124174935,237.340357579594,236.001086026611,237.719945394323,232.318182023474,242.889420406927,261.449692585747,197.387298353514,239.963254855197,279.848878414209,334.393302186257,252.968555721128,260.885142577833,102.554544633531
"51","maker-NW_015503979.1-augustus-gene-28.10",3624.56955030196,11.8235939571639,0.0478263236794474,247.219377270365,0,0,4015.24076090367,3898.63973681099,3276.35918295247,3631.76749049222,4055.87773738511,3107.3570908193,4733.77963137682,3792.68906045977,3446.73833771995,2865.8782952478,3861.82983423531,3740.90927677431,3798.51801817407,3392.15663603813,2965.72266628639,4093.21410040332,3138.17144174814,3427.40260760758
"52","maker-NW_015503979.1-augustus-gene-28.16",6441.45843778729,12.6531716566585,0.0795620735111052,159.035217387747,0,0,5497.13093798663,4934.38789952673,4390.76706831046,6424.71864954801,5996.24261598172,5841.07936129053,6392.1370385683,4897.35577709854,4348.25623875794,8643.17665206971,7324.67654384758,7705.4541628534,5781.49411135046,8030.69223634302,6630.21202610683,6612.23230887937,5977.7090868477,10518.5291648043
"53","maker-NW_015503979.1-augustus-gene-28.3",645.008974624485,9.3331754240411,0.0779154796981558,119.785894410171,0,0,657.636100732729,551.445089819962,826.519181640505,793.198129171845,639.919744622715,785.651414694167,602.173174659828,636.266368652232,862.455551848206,495.537790740918,656.347665762136,553.31439485267,893.496620972084,578.300427936878,445.089016013432,501.36539055573,719.741004282252,411.704476282437
"54","maker-NW_015503979.1-augustus-gene-28.5",548.219641135168,9.09861020648401,0.0603124831688662,150.857827906194,0,0,415.282681652721,511.820292946671,584.135466575143,767.130585020658,568.944746113577,582.776323561775,649.79671219883,463.526818354307,574.627715712929,502.043757358961,540.601708106988,396.874461583129,603.380274266123,521.683602824177,619.588509338215,583.656366513206,557.002362288363,425.081156017245
"55","maker-NW_015503979.1-augustus-gene-32.0",181.028587561681,7.50007373170637,0.154150900189852,48.6541027166839,0,0,73.210928680419,97.9613033811909,105.868749109009,143.371492831531,100.738707561358,136.29446276848,185.202645985009,143.498372504546,134.662309049005,359.996819531695,262.811409734631,234.134933685285,102.620941786949,211.908688278968,179.111814734248,231.633858250672,133.378577716641,422.108560520621
"56","maker-NW_015503979.1-augustus-gene-32.2",256.992072474112,8.00558004655308,0.100850798845853,79.3804326606214,0,0,220.895043432299,169.506075513521,186.663320797462,169.439036982718,249.557252822454,195.825377540919,177.794540145608,375.261781681699,266.240748425132,259.154336952034,427.579184749607,292.931150216119,226.846292371151,233.746606536724,284.426486917047,289.54232281334,188.743270353738,411.704476282437
"57","maker-NW_015503979.1-augustus-gene-32.4",295.769312582286,8.20832856377352,0.10169076074288,80.7185284465304,0,0,223.419558214382,217.936382803099,219.166884120404,226.229043883519,204.911689244125,197.391980561246,357.705681959617,245.842494781373,258.017095964124,464.092285420378,499.750193640465,316.029663853233,344.127368699093,426.243811919909,323.631218897504,252.968555721128,216.425616672286,329.958100125274
"58","maker-NW_015503979.1-augustus-gene-33.4",6206.76212601005,12.5996251403924,0.0610180074792858,206.490274935144,0,0,6491.7897621275,6545.79630570722,6253.68558333389,5193.0271884044,5864.59544132767,5628.80465203617,5309.49528518165,5247.70840732662,7128.87872713624,5792.47894559734,5144.56738848413,8247.21930088751,4979.04464173822,4850.44428858386,7559.59479011415,6180.96663858371,6793.08001477585,8510.54090683477
